id	tname	datecollected	latitude	longitude	depth	temperature	salinity	nitrate	oxygen	phosphate	silicate
728038433	Scyliorhinus canicula	13/11/2003	59.26	-4.2805	93	9.02	35.216	9.449	6.1	0.691	4.053
727973301	Leucoraja naevus	10/03/1987	55.4333	-9.2	110	10.174	35.368	10.156	5.91	0.684	4.026
727974247	Scyliorhinus canicula	07/03/2004	58.6722	-7.2222	100	9.818	35.289	10.42	5.916	0.688	3.963
728044173	Leucoraja naevus	24/10/2001	59.263	-4.2662	95	9.02	35.216	9.449	6.1	0.691	4.053
728044205	Leucoraja naevus	10/03/2001	56.4465	-7.4522	125	9.645	35.299	10.524	5.785	0.734	4.677
727979073	Squalus acanthias	26/11/2007	55.8277	-7.7367	120						
728047266	Scyliorhinus canicula	29/03/2005	59.219	-4.1373	112	9.02	35.216	9.449	6.1	0.691	4.053
728052218	Raja clavata	27/10/2001	58.2983	-8.5083	115	9.619	35.357	11.31	5.948	0.735	4.748
728052897	Scyliorhinus canicula	28/10/2001	58.0618	-9.0242	189	9.419	35.364	11.673	5.949	0.764	5.292
728053317	Scyliorhinus canicula	10/03/2001	55.8238	-8.2635	156						
727987158	Raja montagui	24/11/1998	56.1833	-7.25	95	9.732	35.183	10.14	5.823	0.669	3.744
728053307	Scyliorhinus canicula	10/03/2001	55.8238	-8.2635	156						
728053224	Scyliorhinus canicula	03/11/2001	55.8342	-7.7042	137						
728053201	Scyliorhinus canicula	09/03/2001	54.5188	-5.2078	130						
728053290	Scyliorhinus canicula	03/11/2001	55.9982	-7.2087	112						
727987874	Scyliorhinus canicula	18/02/1998	56.6	-8.4167	165	9.738	35.361	10.914	5.868	0.707	4.143
727987846	Scyliorhinus canicula	18/02/1998	56.45	-7.45	136	9.645	35.299	10.524	5.785	0.734	4.677
727987765	Scyliorhinus canicula	18/02/1998	56.6	-7.3667	172						
728053764	Scyliorhinus canicula	11/11/2001	57.9235	-6.2165	90						
727987794	Scyliorhinus canicula	18/02/1998	56.6	-7.3667	172						
727988021	Scyliorhinus canicula	15/11/1998	56.2167	-9.1167	184	9.786	35.378	12.039	5.898	0.75	4.469
727988551	Scyliorhinus canicula	03/03/1998	58.6167	-7.3333	100	9.818	35.289	10.42	5.916	0.688	3.963
727988568	Scyliorhinus canicula	24/11/1998	56.1833	-7.25	95	9.732	35.183	10.14	5.823	0.669	3.744
728055338	Squalus acanthias	30/11/2003	58.05	-6.193	108						
727989724	Squalus acanthias	17/11/1998	54.4833	-9.4833	98						
727989767	Squalus acanthias	22/11/1998	53.7167	-5.6333	90	10.165	34.498	8.297	6.219	0.664	5.948
728056952	Squalus acanthias	10/03/2001	55.8238	-8.2635	156						
728058611	Scyliorhinus canicula	19/11/2005	58.6603	-7.1927	100	9.818	35.289	10.42	5.916	0.688	3.963
728059158	Scyliorhinus canicula	26/11/2005	53.7938	-4.9238	74						
727994803	Dipturus batis	17/11/1999	56.2167	-9.1167	190	9.786	35.378	12.039	5.898	0.75	4.469
727997875	Squalus acanthias	15/11/2003	58.6747	-7.2257	94	9.818	35.289	10.42	5.916	0.688	3.963
728071142	Scyliorhinus canicula	01/03/1998	55.8167	-8.2333	144						
728007074	Scyliorhinus canicula	14/11/1999	58.6	-7.3333	97	9.818	35.289	10.42	5.916	0.688	3.963
728007331	Scyliorhinus canicula	05/03/1999	56.3167	-8.4333	152	9.738	35.361	10.914	5.868	0.707	4.143
728007472	Scyliorhinus canicula	05/03/1999	55.4333	-9.2	124	10.058	35.382	10.273	5.908	0.697	4.322
728007916	Scyliorhinus canicula	13/03/1999	53.7333	-4.65	70						
728009297	Squalus acanthias	17/03/1999	58.3833	-5.7	114						
728078138	Squalus acanthias	15/03/2005	58.0513	-9.0305	185	9.419	35.364	11.673	5.949	0.764	5.292
728078601	Raja montagui	21/11/2003	53.8158	-4.8547	64						
728078359	Squalus acanthias	03/12/2005	56.5513	-7.3377	150						
